route_code,operator,direction,origin,terminus,seq,station,stops,cumulative_minutes
R056,AirLink,up,Leighton Stepford Road,Stepford Airport Central,3,Stepford Airport Central,True,7.0
R057,AirLink,down,Airport Terminal 3,Leighton Stepford Road,1,Airport Terminal 3,True,0.0
R057,AirLink,down,Airport Terminal 3,Leighton Stepford Road,2,Airport Terminal 2,True,3.0
R057,AirLink,down,Airport Terminal 3,Leighton Stepford Road,3,Stepford Airport Central,True,7.0
R057,AirLink,down,Airport Terminal 3,Leighton Stepford Road,4,Water Newton,True,12.0
R057,AirLink,down,Airport Terminal 3,Leighton Stepford Road,5,Leighton Stepford Road,True,14.0
R057,AirLink,up,Leighton Stepford Road,Airport Terminal 3,1,Leighton Stepford Road,True,0.0
R057,AirLink,up,Leighton Stepford Road,Airport Terminal 3,2,Water Newton,True,2.0
R057,AirLink,up,Leighton Stepford Road,Airport Terminal 3,3,Stepford Airport Central,True,7.0
R057,AirLink,up,Leighton Stepford Road,Airport Terminal 3,4,Airport Terminal 2,True,11.0
R057,AirLink,up,Leighton Stepford Road,Airport Terminal 3,5,Airport Terminal 3,True,14.0
R058,AirLink,down,Stepford Central,Airport Terminal 3,1,Stepford Central,True,0.0
R058,AirLink,down,Stepford Central,Airport Terminal 3,2,St Helens Bridge,True,2.0
R058,AirLink,down,Stepford Central,Airport Terminal 3,3,Morganstown,True,6.0
R058,AirLink,down,Stepford Central,Airport Terminal 3,4,Stepford Airport Central,True,9.0
R058,AirLink,down,Stepford Central,Airport Terminal 3,5,Airport Terminal 1,True,10.0
R058,AirLink,down,Stepford Central,Airport Terminal 3,6,Airport Terminal 2,False,
R058,AirLink,down,Stepford Central,Airport Terminal 3,7,Airport Terminal 3,True,12.0
R058,AirLink,up,Airport Terminal 3,Stepford Central,1,Airport Terminal 3,True,0.0
R058,AirLink,up,Airport Terminal 3,Stepford Central,2,Airport Terminal 2,True,3.0
R058,AirLink,up,Airport Terminal 3,Stepford Central,3,Airport Terminal 1,False,
R058,AirLink,up,Airport Terminal 3,Stepford Central,4,Stepford Airport Central,True,5.0
R058,AirLink,up,Airport Terminal 3,Stepford Central,5,Morganstown,True,8.0
R058,AirLink,up,Airport Terminal 3,Stepford Central,6,St Helens Bridge,True,12.0
R058,AirLink,up,Airport Terminal 3,Stepford Central,7,Stepford Central,True,15.0
R059,AirLink,down,Stepford Central,Airport Terminal 2,1,Stepford Central,True,0.0
R059,AirLink,down,Stepford Central,Airport Terminal 2,2,St Helens Bridge,True,2.0
R059,AirLink,down,Stepford Central,Airport Terminal 2,3,Elsemere Junction,True,4.0
R059,AirLink,down,Stepford Central,Airport Terminal 2,4,Stepford Airport Parkway,True,8.0
R059,AirLink,down,Stepford Central,Airport Terminal 2,5,Stepford Airport Central,True,9.0
R059,AirLink,down,Stepford Central,Airport Terminal 2,6,Airport Terminal 1,False,
R059,AirLink,down,Stepford Central,Airport Terminal 2,7,Airport Terminal 2,True,13.0
R059,AirLink,up,Airport Terminal 2,Stepford Central,1,Airport Terminal 2,True,0.0
R059,AirLink,up,Airport Terminal 2,Stepford Central,2,Airport Terminal 1,False,
R059,AirLink,up,Airport Terminal 2,Stepford Central,3,Stepford Airport Central,True,2.0
R059,AirLink,up,Airport Terminal 2,Stepford Central,4,Stepford Airport Parkway,True,4.0
R059,AirLink,up,Airport Terminal 2,Stepford Central,5,Elsemere Junction,True,8.0
R059,AirLink,up,Airport Terminal 2,Stepford Central,6,St Helens Bridge,True,10.0
R059,AirLink,up,Airport Terminal 2,Stepford Central,7,Stepford Central,True,13.0
R060,AirLink,down,Stepford Airport Parkway,Airport Terminal 2,1,Stepford Airport Parkway,True,0.0
R060,AirLink,down,Stepford Airport Parkway,Airport Terminal 2,2,Stepford Airport Central,True,2.0
R060,AirLink,down,Stepford Airport Parkway,Airport Terminal 2,3,Airport Terminal 1,True,3.0
R060,AirLink,down,Stepford Airport Parkway,Airport Terminal 2,4,Airport Terminal 3,True,6.0
R060,AirLink,down,Stepford Airport Parkway,Airport Terminal 2,5,Airport Terminal 2,True,9.0
R060,AirLink,up,Airport Terminal 2,Stepford Airport Parkway,1,Airport Terminal 2,True,0.0
R060,AirLink,up,Airport Terminal 2,Stepford Airport Parkway,2,Airport Terminal 3,True,
R060,AirLink,up,Airport Terminal 2,Stepford Airport Parkway,3,Airport Terminal 1,True,
R060,AirLink,up,Airport Terminal 2,Stepford Airport Parkway,4,Stepford Airport Central,True,3.0
R060,AirLink,up,Airport Terminal 2,Stepford Airport Parkway,5,Stepford Airport Parkway,True,5.0
R002,Metro,down,Stepford Central,Port Benton,1,Stepford Central,True,0.0
R002,Metro,down,Stepford Central,Port Benton,2,Four Ways,True,1.0
R002,Metro,down,Stepford Central,Port Benton,3,Stepford East,True,3.0
R002,Metro,down,Stepford Central,Port Benton,4,Stepford High Street,True,4.0
R002,Metro,down,Stepford Central,Port Benton,5,St Helens Bridge,True,6.0
R002,Metro,down,Stepford Central,Port Benton,6,Angel Pass,True,8.0
R002,Metro,down,Stepford Central,Port Benton,7,Bodin,True,9.0
R002,Metro,down,Stepford Central,Port Benton,8,Coxly,True,11.0
R002,Metro,down,Stepford Central,Port Benton,9,Benton,True,13.0
R002,Metro,down,Stepford Central,Port Benton,10,Port Benton,True,16.0
R002,Metro,up,Port Benton,Stepford Central,1,Port Benton,True,0.0
R002,Metro,up,Port Benton,Stepford Central,2,Benton,True,2.0
R002,Metro,up,Port Benton,Stepford Central,3,Coxly,True,4.0
R002,Metro,up,Port Benton,Stepford Central,4,Bodin,True,6.0
R002,Metro,up,Port Benton,Stepford Central,5,Angel Pass,True,7.0
R002,Metro,up,Port Benton,Stepford Central,6,St Helens Bridge,True,9.0
R002,Metro,up,Port Benton,Stepford Central,7,Stepford High Street,True,10.0
R002,Metro,up,Port Benton,Stepford Central,8,Stepford East,True,12.0
R002,Metro,up,Port Benton,Stepford Central,9,Four Ways,True,13.0
R002,Metro,up,Port Benton,Stepford Central,10,Stepford Central,True,15.0
R006,Metro,down,Stepford Victoria,Port Benton,1,Stepford Victoria,True,0.0
R006,Metro,down,Stepford Victoria,Port Benton,2,City Hospital,True,2.0
R006,Metro,down,Stepford Victoria,Port Benton,3,Stepford Central,True,4.0
R006,Metro,down,Stepford Victoria,Port Benton,4,Four Ways,True,5.0
R006,Metro,down,Stepford Victoria,Port Benton,5,Stepford East,True,7.0
R006,Metro,down,Stepford Victoria,Port Benton,6,St Helens Bridge,True,9.0
R006,Metro,down,Stepford Victoria,Port Benton,7,Angel Pass,True,11.0
R006,Metro,down,Stepford Victoria,Port Benton,8,Bodin,True,12.0
R006,Metro,down,Stepford Victoria,Port Benton,9,Coxly,True,14.0
R006,Metro,down,Stepford Victoria,Port Benton,10,Benton,True,15.0
R006,Metro,down,Stepford Victoria,Port Benton,11,Port Benton,True,16.0
R006,Metro,up,Port Benton,Stepford Victoria,1,Port Benton,True,0.0
R006,Metro,up,Port Benton,Stepford Victoria,2,Benton,True,1.0
R006,Metro,up,Port Benton,Stepford Victoria,3,Coxly,True,2.0
R006,Metro,up,Port Benton,Stepford Victoria,4,Bodin,True,4.0
R006,Metro,up,Port Benton,Stepford Victoria,5,Angel Pass,True,6.0
R006,Metro,up,Port Benton,Stepford Victoria,6,St Helens Bridge,True,7.0
R006,Metro,up,Port Benton,Stepford Victoria,7,Stepford East,True,9.0
R006,Metro,up,Port Benton,Stepford Victoria,8,Four Ways,True,10.0
R006,Metro,up,Port Benton,Stepford Victoria,9,Stepford Central,True,12.0
R006,Metro,up,Port Benton,Stepford Victoria,10,City Hospital,True,14.0
R006,Metro,up,Port Benton,Stepford Victoria,11,Stepford Victoria,True,16.0
R008,Metro,down,Stepford Victoria,Berrily,1,Stepford Victoria,True,0.0
R008,Metro,down,Stepford Victoria,Berrily,2,Financial Quarter,True,2.0
R008,Metro,down,Stepford Victoria,Berrily,3,City Hospital,True,4.0
R008,Metro,down,Stepford Victoria,Berrily,4,Stepford Central,True,6.0
R008,Metro,down,Stepford Victoria,Berrily,5,Four Ways,True,7.0
R008,Metro,down,Stepford Victoria,Berrily,6,Stepford East,True,9.0
R008,Metro,down,Stepford Victoria,Berrily,7,Stepford High Street,True,10.0
R008,Metro,down,Stepford Victoria,Berrily,8,St Helens Bridge,True,12.0
R008,Metro,down,Stepford Victoria,Berrily,9,New Harrow,True,14.0
R008,Metro,down,Stepford Victoria,Berrily,10,Elsemere Pond,True,15.0
R008,Metro,down,Stepford Victoria,Berrily,11,Elsemere Junction,True,16.0
R008,Metro,down,Stepford Victoria,Berrily,12,Berrily,True,18.0
R008,Metro,up,Berrily,Stepford Victoria,1,Berrily,True,0.0
R008,Metro,up,Berrily,Stepford Victoria,2,Elsemere Junction,True,2.0
R008,Metro,up,Berrily,Stepford Victoria,3,Elsemere Pond,True,3.0
R008,Metro,up,Berrily,Stepford Victoria,4,New Harrow,True,4.0
R008,Metro,up,Berrily,Stepford Victoria,5,St Helens Bridge,True,6.0
R008,Metro,up,Berrily,Stepford Victoria,6,Stepford High Street,True,7.0
R008,Metro,up,Berrily,Stepford Victoria,7,Stepford East,True,9.0
R008,Metro,up,Berrily,Stepford Victoria,8,Four Ways,True,10.0
R008,Metro,up,Berrily,Stepford Victoria,9,Stepford Central,True,12.0
R008,Metro,up,Berrily,Stepford Victoria,10,City Hospital,True,14.0
R008,Metro,up,Berrily,Stepford Victoria,11,Financial Quarter,True,16.0
R008,Metro,up,Berrily,Stepford Victoria,12,Stepford Victoria,True,19.0
R021,Metro,down,Stepford Central,Stepford United Football Club,1,Stepford Central,True,0.0
R021,Metro,down,Stepford Central,Stepford United Football Club,2,Four Ways,True,2.0
R021,Metro,down,Stepford Central,Stepford United Football Club,3,Stepford East,True,3.0
R021,Metro,down,Stepford Central,Stepford United Football Club,4,Stepford High Street,True,5.0
R021,Metro,down,Stepford Central,Stepford United Football Club,5,Whitefield Lido,True,6.0
R021,Metro,down,Stepford Central,Stepford United Football Club,6,Stepford United Football Club,True,8.0
R021,Metro,up,Stepford United Football Club,Stepford Central,1,Stepford United Football Club,True,0.0
R021,Metro,up,Stepford United Football Club,Stepford Central,2,Whitefield Lido,True,2.0
R021,Metro,up,Stepford United Football Club,Stepford Central,3,Stepford High Street,True,3.0
R021,Metro,up,Stepford United Football Club,Stepford Central,4,Stepford East,True,5.0
R021,Metro,up,Stepford United Football Club,Stepford Central,5,Four Ways,True,6.0
R021,Metro,up,Stepford United Football Club,Stepford Central,6,Stepford Central,True,8.0
R023,Metro,down,Stepford Victoria,Stepford United Football Club,1,Stepford Victoria,True,0.0
R023,Metro,down,Stepford Victoria,Stepford United Football Club,2,Financial Quarter,True,3.0
R023,Metro,down,Stepford Victoria,Stepford United Football Club,3,City Hospital,True,5.0
R023,Metro,down,Stepford Victoria,Stepford United Football Club,4,Stepford Central,True,7.0
R023,Metro,down,Stepford Victoria,Stepford United Football Club,5,Four Ways,True,9.0
R023,Metro,down,Stepford Victoria,Stepford United Football Club,6,Stepford East,True,10.0
R023,Metro,down,Stepford Victoria,Stepford United Football Club,7,Stepford High Street,True,12.0
R023,Metro,down,Stepford Victoria,Stepford United Football Club,8,Whitefield Lido,True,13.0
R023,Metro,down,Stepford Victoria,Stepford United Football Club,9,Stepford United Football Club,True,15.0
R023,Metro,up,Stepford United Football Club,Stepford Victoria,1,Stepford United Football Club,True,0.0
R023,Metro,up,Stepford United Football Club,Stepford Victoria,2,Whitefield Lido,True,2.0
R023,Metro,up,Stepford United Football Club,Stepford Victoria,3,Stepford High Street,True,3.0
R023,Metro,up,Stepford United Football Club,Stepford Victoria,4,Stepford East,True,5.0
R023,Metro,up,Stepford United Football Club,Stepford Victoria,5,Four Ways,True,6.0
R023,Metro,up,Stepford United Football Club,Stepford Victoria,6,Stepford Central,True,8.0
R023,Metro,up,Stepford United Football Club,Stepford Victoria,7,City Hospital,True,10.0
R023,Metro,up,Stepford United Football Club,Stepford Victoria,8,Financial Quarter,True,12.0
R023,Metro,up,Stepford United Football Club,Stepford Victoria,9,Stepford Victoria,True,15.0
R027,Metro,down,Stepford Central,Berrily,1,Stepford Central,True,0.0
R027,Metro,down,Stepford Central,Berrily,2,Four Ways,True,1.0
R027,Metro,down,Stepford Central,Berrily,3,Stepford East,True,3.0
R027,Metro,down,Stepford Central,Berrily,4,Stepford High Street,True,4.0
R027,Metro,down,Stepford Central,Berrily,5,St Helens Bridge,True,6.0
R027,Metro,down,Stepford Central,Berrily,6,New Harrow,True,8.0
R027,Metro,down,Stepford Central,Berrily,7,Elsemere Pond,True,9.0
R027,Metro,down,Stepford Central,Berrily,8,Elsemere Junction,True,10.0
R027,Metro,down,Stepford Central,Berrily,9,Berrily,True,12.0
R027,Metro,up,Berrily,Stepford Central,1,Berrily,True,0.0
R027,Metro,up,Berrily,Stepford Central,2,Elsemere Junction,True,2.0
R027,Metro,up,Berrily,Stepford Central,3,Elsemere Pond,True,3.0
R027,Metro,up,Berrily,Stepford Central,4,New Harrow,True,4.0
R027,Metro,up,Berrily,Stepford Central,5,St Helens Bridge,True,6.0
R027,Metro,up,Berrily,Stepford Central,6,Stepford High Street,True,8.0
R027,Metro,up,Berrily,Stepford Central,7,Stepford East,True,9.0
R027,Metro,up,Berrily,Stepford Central,8,Four Ways,True,10.0
R027,Metro,up,Berrily,Stepford Central,9,Stepford Central,True,12.0
R028,Metro,down,Stepford Victoria,Willowfield,1,Stepford Victoria,True,0.0
R028,Metro,down,Stepford Victoria,Willowfield,2,Financial Quarter,True,1.0
R028,Metro,down,Stepford Victoria,Willowfield,3,Beechley,True,3.0
R028,Metro,down,Stepford Victoria,Willowfield,4,Hemdon Park,True,5.0
R028,Metro,down,Stepford Victoria,Willowfield,5,Willowfield,True,7.0
R028,Metro,up,Willowfield,Stepford Victoria,1,Willowfield,True,0.0
R028,Metro,up,Willowfield,Stepford Victoria,2,Hemdon Park,True,2.0
R028,Metro,up,Willowfield,Stepford Victoria,3,Beechley,True,4.0
R028,Metro,up,Willowfield,Stepford Victoria,4,Financial Quarter,True,6.0
R028,Metro,up,Willowfield,Stepford Victoria,5,Stepford Victoria,True,7.0
R029,Metro,down,Stepford Victoria,Beechley,1,Stepford Victoria,True,0.0
R029,Metro,down,Stepford Victoria,Beechley,2,Financial Quarter,True,1.0
R029,Metro,down,Stepford Victoria,Beechley,3,Beechley,True,3.0
R029,Metro,up,Beechley,Stepford Victoria,1,Beechley,True,0.0
R029,Metro,up,Beechley,Stepford Victoria,2,Financial Quarter,True,2.0
R029,Metro,up,Beechley,Stepford Victoria,3,Stepford Victoria,True,3.0
R030,Metro,down,Willowfield,Berrily,1,Willowfield,True,0.0
R030,Metro,down,Willowfield,Berrily,2,Hemdon Park,True,2.0
R030,Metro,down,Willowfield,Berrily,3,Beechley,True,4.0
R030,Metro,down,Willowfield,Berrily,4,City Hospital,True,6.0
R030,Metro,down,Willowfield,Berrily,5,Stepford Central,True,8.0
R030,Metro,down,Willowfield,Berrily,6,Four Ways,True,10.0
R030,Metro,down,Willowfield,Berrily,7,Stepford East,True,11.0
R030,Metro,down,Willowfield,Berrily,8,Stepford High Street,True,13.0
R030,Metro,down,Willowfield,Berrily,9,St Helens Bridge,True,14.0
R030,Metro,down,Willowfield,Berrily,10,New Harrow,True,16.0
R030,Metro,down,Willowfield,Berrily,11,Elsemere Pond,True,17.0
R030,Metro,down,Willowfield,Berrily,12,Elsemere Junction,True,18.0
R030,Metro,down,Willowfield,Berrily,13,Berrily,True,20.0
R030,Metro,up,Berrily,Willowfield,1,Berrily,True,0.0
R030,Metro,up,Berrily,Willowfield,2,Elsemere Junction,True,2.0
R030,Metro,up,Berrily,Willowfield,3,Elsemere Pond,True,3.0
R030,Metro,up,Berrily,Willowfield,4,New Harrow,True,4.0
R030,Metro,up,Berrily,Willowfield,5,St Helens Bridge,True,6.0
R030,Metro,up,Berrily,Willowfield,6,Stepford High Street,True,8.0
R030,Metro,up,Berrily,Willowfield,7,Stepford East,True,9.0
R030,Metro,up,Berrily,Willowfield,8,Four Ways,True,11.0
R030,Metro,up,Berrily,Willowfield,9,Stepford Central,True,12.0
R030,Metro,up,Berrily,Willowfield,10,City Hospital,True,14.0
R030,Metro,up,Berrily,Willowfield,11,Beechley,True,16.0
R030,Metro,up,Berrily,Willowfield,12,Hemdon Park,True,18.0
R030,Metro,up,Berrily,Willowfield,13,Willowfield,True,20.0
R031,Metro,down,Willowfield,Stepford United Football Club,1,Willowfield,True,0.0
R031,Metro,down,Willowfield,Stepford United Football Club,2,Hemdon Park,True,2.0
R031,Metro,down,Willowfield,Stepford United Football Club,3,Beechley,True,4.0
R031,Metro,down,Willowfield,Stepford United Football Club,4,City Hospital,True,6.0
R031,Metro,down,Willowfield,Stepford United Football Club,5,Stepford Central,True,8.0
R031,Metro,down,Willowfield,Stepford United Football Club,6,Four Ways,True,10.0
R031,Metro,down,Willowfield,Stepford United Football Club,7,Stepford East,True,11.0
R031,Metro,down,Willowfield,Stepford United Football Club,8,Stepford High Street,True,13.0
R031,Metro,down,Willowfield,Stepford United Football Club,9,Whitefield Lido,True,14.0
R031,Metro,down,Willowfield,Stepford United Football Club,10,Stepford United Football Club,True,16.0
R031,Metro,up,Stepford United Football Club,Willowfield,1,Stepford United Football Club,True,0.0
R031,Metro,up,Stepford United Football Club,Willowfield,2,Whitefield Lido,True,2.0
R031,Metro,up,Stepford United Football Club,Willowfield,3,Stepford High Street,True,3.0
R031,Metro,up,Stepford United Football Club,Willowfield,4,Stepford East,True,5.0
R031,Metro,up,Stepford United Football Club,Willowfield,5,Four Ways,True,6.0
R031,Metro,up,Stepford United Football Club,Willowfield,6,Stepford Central,True,8.0
R031,Metro,up,Stepford United Football Club,Willowfield,7,City Hospital,True,10.0
R031,Metro,up,Stepford United Football Club,Willowfield,8,Beechley,True,12.0
R031,Metro,up,Stepford United Football Club,Willowfield,9,Hemdon Park,True,14.0
R031,Metro,up,Stepford United Football Club,Willowfield,10,Willowfield,True,16.0
R034,Metro,down,Beechley,Morganstown,1,Beechley,True,0.0
R034,Metro,down,Beechley,Morganstown,2,City Hospital,True,2.0
R034,Metro,down,Beechley,Morganstown,3,Stepford Central,True,4.0
R034,Metro,down,Beechley,Morganstown,4,Four Ways,True,5.0
R034,Metro,down,Beechley,Morganstown,5,Stepford East,True,7.0
R034,Metro,down,Beechley,Morganstown,6,Stepford High Street,True,8.0
R034,Metro,down,Beechley,Morganstown,7,St Helens Bridge,True,10.0
R034,Metro,down,Beechley,Morganstown,8,New Harrow,True,11.0
R034,Metro,down,Beechley,Morganstown,9,Elsemere Pond,True,12.0
R034,Metro,down,Beechley,Morganstown,10,Elsemere Junction,True,13.0
R034,Metro,down,Beechley,Morganstown,11,Berrily,True,15.0
R034,Metro,down,Beechley,Morganstown,12,East Berrily,True,16.0
R034,Metro,down,Beechley,Morganstown,13,Beaulieu Park,True,17.0
R034,Metro,down,Beechley,Morganstown,14,Morganstown,True,20.0
R034,Metro,up,Morganstown,Beechley,1,Morganstown,True,0.0
R034,Metro,up,Morganstown,Beechley,2,Beaulieu Park,True,3.0
R034,Metro,up,Morganstown,Beechley,3,East Berrily,True,4.0
R034,Metro,up,Morganstown,Beechley,4,Berrily,True,5.0
R034,Metro,up,Morganstown,Beechley,5,Elsemere Junction,True,7.0
R034,Metro,up,Morganstown,Beechley,6,Elsemere Pond,True,8.0
R034,Metro,up,Morganstown,Beechley,7,New Harrow,True,9.0
R034,Metro,up,Morganstown,Beechley,8,St Helens Bridge,True,10.0
R034,Metro,up,Morganstown,Beechley,9,Stepford High Street,True,12.0
R034,Metro,up,Morganstown,Beechley,10,Stepford East,True,13.0
R034,Metro,up,Morganstown,Beechley,11,Four Ways,True,15.0
R034,Metro,up,Morganstown,Beechley,12,Stepford Central,True,16.0
R034,Metro,up,Morganstown,Beechley,13,City Hospital,True,18.0
R034,Metro,up,Morganstown,Beechley,14,Beechley,True,20.0
R047,Metro,down,St Helens Bridge,Port Benton,1,St Helens Bridge,True,0.0
R047,Metro,down,St Helens Bridge,Port Benton,2,Angel Pass,True,2.0
R047,Metro,down,St Helens Bridge,Port Benton,3,Bodin,True,3.0
R047,Metro,down,St Helens Bridge,Port Benton,4,Coxly,True,5.0
R047,Metro,down,St Helens Bridge,Port Benton,5,Benton,True,7.0
R047,Metro,down,St Helens Bridge,Port Benton,6,Port Benton,True,9.0
R047,Metro,up,Port Benton,St Helens Bridge,1,Port Benton,True,0.0
R047,Metro,up,Port Benton,St Helens Bridge,2,Benton,True,2.0
R047,Metro,up,Port Benton,St Helens Bridge,3,Coxly,True,4.0
R047,Metro,up,Port Benton,St Helens Bridge,4,Bodin,True,6.0
R047,Metro,up,Port Benton,St Helens Bridge,5,Angel Pass,True,7.0
R047,Metro,up,Port Benton,St Helens Bridge,6,St Helens Bridge,True,9.0
R130,Metro,down,Stepford Central,Morganstown,1,Stepford Central,True,0.0
R130,Metro,down,Stepford Central,Morganstown,2,Four Ways,True,1.0
R130,Metro,down,Stepford Central,Morganstown,3,Stepford East,True,3.0
R130,Metro,down,Stepford Central,Morganstown,4,Stepford High Street,True,4.0
R130,Metro,down,Stepford Central,Morganstown,5,St Helens Bridge,True,6.0
R130,Metro,down,Stepford Central,Morganstown,6,New Harrow,True,8.0
R130,Metro,down,Stepford Central,Morganstown,7,Elsemere Pond,True,9.0
R130,Metro,down,Stepford Central,Morganstown,8,Elsemere Junction,True,10.0
R130,Metro,down,Stepford Central,Morganstown,9,Berrily,True,12.0
R130,Metro,down,Stepford Central,Morganstown,10,East Berrily,True,13.0
R130,Metro,down,Stepford Central,Morganstown,11,Beaulieu Park,True,14.0
R130,Metro,down,Stepford Central,Morganstown,12,Morganstown,True,16.0
R130,Metro,up,Morganstown,Stepford Central,1,Morganstown,True,0.0
R130,Metro,up,Morganstown,Stepford Central,2,Beaulieu Park,True,2.0
R130,Metro,up,Morganstown,Stepford Central,3,East Berrily,True,3.0
R130,Metro,up,Morganstown,Stepford Central,4,Berrily,True,5.0
R130,Metro,up,Morganstown,Stepford Central,5,Elsemere Junction,True,7.0
R130,Metro,up,Morganstown,Stepford Central,6,Elsemere Pond,True,8.0
R130,Metro,up,Morganstown,Stepford Central,7,New Harrow,True,9.0
R130,Metro,up,Morganstown,Stepford Central,8,St Helens Bridge,True,11.0
R130,Metro,up,Morganstown,Stepford Central,9,Stepford High Street,True,12.0
R130,Metro,up,Morganstown,Stepford Central,10,Stepford East,True,14.0
R130,Metro,up,Morganstown,Stepford Central,11,Four Ways,True,15.0
R130,Metro,up,Morganstown,Stepford Central,12,Stepford Central,True,16.0
R131,Metro,down,St Helens Bridge,Morganstown,1,St Helens Bridge,True,0.0
R131,Metro,down,St Helens Bridge,Morganstown,2,New Harrow,True,2.0
R131,Metro,down,St Helens Bridge,Morganstown,3,Elsemere Pond,True,3.0
R131,Metro,down,St Helens Bridge,Morganstown,4,Elsemere Junction,True,4.0
R131,Metro,down,St Helens Bridge,Morganstown,5,Berrily,True,6.0
R131,Metro,down,St Helens Bridge,Morganstown,6,East Berrily,True,7.0
